DriverNumber,Driver,TeamName,GridPosition,FinishPosition,Points,Status,Laps,Year,Race,avg_temp,avg_rainfall,is_wet_race,DNF
4,NOR,McLaren,1.0,1.0,25.0,Finished,62.0,2024,Pre-Season Testing,30.786250000000003,0.0,0,0
1,VER,Red Bull Racing,2.0,2.0,18.0,Finished,62.0,2024,Pre-Season Testing,30.786250000000003,0.0,0,0
81,PIA,McLaren,5.0,3.0,15.0,Finished,62.0,2024,Pre-Season Testing,30.786250000000003,0.0,0,0
63,RUS,Mercedes,4.0,4.0,12.0,Finished,62.0,2024,Pre-Season Testing,30.786250000000003,0.0,0,0
16,LEC,Ferrari,9.0,5.0,10.0,Finished,62.0,2024,Pre-Season Testing,30.786250000000003,0.0,0,0
44,HAM,Mercedes,3.0,6.0,8.0,Finished,62.0,2024,Pre-Season Testing,30.786250000000003,0.0,0,0
55,SAI,Ferrari,10.0,7.0,6.0,Finished,62.0,2024,Pre-Season Testing,30.786250000000003,0.0,0,0
14,ALO,Aston Martin,7.0,8.0,4.0,Lapped,61.0,2024,Pre-Season Testing,30.786250000000003,0.0,0,1
27,HUL,Haas F1 Team,6.0,9.0,2.0,Lapped,61.0,2024,Pre-Season Testing,30.786250000000003,0.0,0,1
11,PER,Red Bull Racing,13.0,10.0,1.0,Lapped,61.0,2024,Pre-Season Testing,30.786250000000003,0.0,0,1
43,COL,Williams,12.0,11.0,0.0,Lapped,61.0,2024,Pre-Season Testing,30.786250000000003,0.0,0,1
22,TSU,RB,8.0,12.0,0.0,Lapped,61.0,2024,Pre-Season Testing,30.786250000000003,0.0,0,1
31,OCO,Alpine,15.0,13.0,0.0,Lapped,61.0,2024,Pre-Season Testing,30.786250000000003,0.0,0,1
18,STR,Aston Martin,17.0,14.0,0.0,Lapped,61.0,2024,Pre-Season Testing,30.786250000000003,0.0,0,1
24,ZHO,Kick Sauber,20.0,15.0,0.0,Lapped,61.0,2024,Pre-Season Testing,30.786250000000003,0.0,0,1
77,BOT,Kick Sauber,19.0,16.0,0.0,Lapped,61.0,2024,Pre-Season Testing,30.786250000000003,0.0,0,1
10,GAS,Alpine,18.0,17.0,0.0,Lapped,61.0,2024,Pre-Season Testing,30.786250000000003,0.0,0,1
3,RIC,RB,16.0,18.0,0.0,Lapped,61.0,2024,Pre-Season Testing,30.786250000000003,0.0,0,1
20,MAG,Haas F1 Team,14.0,19.0,0.0,Retired,57.0,2024,Pre-Season Testing,30.786250000000003,0.0,0,1
23,ALB,Williams,11.0,20.0,0.0,Retired,15.0,2024,Pre-Season Testing,30.786250000000003,0.0,0,1
1,VER,Red Bull Racing,1.0,1.0,26.0,Finished,57.0,2024,Bahrain Grand Prix,18.22738853503185,0.0,0,0
11,PER,Red Bull Racing,5.0,2.0,18.0,Finished,57.0,2024,Bahrain Grand Prix,18.22738853503185,0.0,0,0
55,SAI,Ferrari,4.0,3.0,15.0,Finished,57.0,2024,Bahrain Grand Prix,18.22738853503185,0.0,0,0
16,LEC,Ferrari,2.0,4.0,12.0,Finished,57.0,2024,Bahrain Grand Prix,18.22738853503185,0.0,0,0
63,RUS,Mercedes,3.0,5.0,10.0,Finished,57.0,2024,Bahrain Grand Prix,18.22738853503185,0.0,0,0
4,NOR,McLaren,7.0,6.0,8.0,Finished,57.0,2024,Bahrain Grand Prix,18.22738853503185,0.0,0,0
44,HAM,Mercedes,9.0,7.0,6.0,Finished,57.0,2024,Bahrain Grand Prix,18.22738853503185,0.0,0,0
81,PIA,McLaren,8.0,8.0,4.0,Finished,57.0,2024,Bahrain Grand Prix,18.22738853503185,0.0,0,0
14,ALO,Aston Martin,6.0,9.0,2.0,Finished,57.0,2024,Bahrain Grand Prix,18.22738853503185,0.0,0,0
18,STR,Aston Martin,12.0,10.0,1.0,Finished,57.0,2024,Bahrain Grand Prix,18.22738853503185,0.0,0,0
24,ZHO,Kick Sauber,17.0,11.0,0.0,Lapped,56.0,2024,Bahrain Grand Prix,18.22738853503185,0.0,0,1
20,MAG,Haas F1 Team,15.0,12.0,0.0,Lapped,56.0,2024,Bahrain Grand Prix,18.22738853503185,0.0,0,1
3,RIC,RB,14.0,13.0,0.0,Lapped,56.0,2024,Bahrain Grand Prix,18.22738853503185,0.0,0,1
22,TSU,RB,11.0,14.0,0.0,Lapped,56.0,2024,Bahrain Grand Prix,18.22738853503185,0.0,0,1
23,ALB,Williams,13.0,15.0,0.0,Lapped,56.0,2024,Bahrain Grand Prix,18.22738853503185,0.0,0,1
27,HUL,Haas F1 Team,10.0,16.0,0.0,Lapped,56.0,2024,Bahrain Grand Prix,18.22738853503185,0.0,0,1
31,OCO,Alpine,19.0,17.0,0.0,Lapped,56.0,2024,Bahrain Grand Prix,18.22738853503185,0.0,0,1
10,GAS,Alpine,20.0,18.0,0.0,Lapped,56.0,2024,Bahrain Grand Prix,18.22738853503185,0.0,0,1
77,BOT,Kick Sauber,16.0,19.0,0.0,Lapped,56.0,2024,Bahrain Grand Prix,18.22738853503185,0.0,0,1
2,SAR,Williams,18.0,20.0,0.0,Lapped,55.0,2024,Bahrain Grand Prix,18.22738853503185,0.0,0,1
1,VER,Red Bull Racing,1.0,1.0,25.0,Finished,50.0,2024,Saudi Arabian Grand Prix,25.528082191780825,0.0,0,0
11,PER,Red Bull Racing,3.0,2.0,18.0,Finished,50.0,2024,Saudi Arabian Grand Prix,25.528082191780825,0.0,0,0
16,LEC,Ferrari,2.0,3.0,16.0,Finished,50.0,2024,Saudi Arabian Grand Prix,25.528082191780825,0.0,0,0
81,PIA,McLaren,5.0,4.0,12.0,Finished,50.0,2024,Saudi Arabian Grand Prix,25.528082191780825,0.0,0,0
14,ALO,Aston Martin,4.0,5.0,10.0,Finished,50.0,2024,Saudi Arabian Grand Prix,25.528082191780825,0.0,0,0
63,RUS,Mercedes,7.0,6.0,8.0,Finished,50.0,2024,Saudi Arabian Grand Prix,25.528082191780825,0.0,0,0
